fecha,avg_hours_absent
2020-01-01,10.482755189081603
2020-02-01,10.508112509252406
2020-03-01,15.049578414839797
2020-04-01,12.085007254554249
2020-05-01,12.56036036036036
2020-06-01,11.48317159241288
2020-07-01,12.388132911392404
2020-08-01,12.608912852112676
2020-09-01,11.669295302013424
2020-10-01,9.817116378249816
2020-11-01,10.51946829892198
2020-12-01,10.887178265014299
2021-01-01,10.954024286924597
2021-02-01,9.834375632463065
2021-03-01,10.910384615384615
2021-04-01,10.903565677478722
2021-05-01,10.472115171650055
2021-06-01,10.698658589355256
2021-07-01,11.864784727863524
2021-08-01,12.633326616965544
2021-09-01,11.135347298787211
2021-10-01,9.816722136537056
2021-11-01,10.75950057152906
2021-12-01,10.61398440269408
2022-01-01,12.101012109163202
2022-02-01,10.664150342411212
2022-03-01,11.712507827175955
2022-04-01,10.553273792593435
2022-05-01,10.755822699798523
2022-06-01,11.020731528895391
2022-07-01,12.042172240307783
2022-08-01,12.46007127583749
2022-09-01,11.107909698996655
2022-10-01,10.0330108541765
2022-11-01,10.339145753936867
2022-12-01,10.933482968048587
2023-01-01,10.583929692404269
2023-02-01,10.42849362190053
2023-03-01,11.409510313336483
2023-04-01,10.359327070552148
2023-05-01,10.428862220871942
2023-06-01,10.479371381306866
2023-07-01,11.745783915515842
2023-08-01,12.053904130238168
2023-09-01,10.829000825763833
2023-10-01,9.895888547089447
2023-11-01,10.567971014492754
2023-12-01,10.629915673939232
